№,приоритет,решение,аккаунт,канал,направление,запрос клиента,бюджет,отклики,конкуренция,часы,грязная ставка руб/час,почему нам подходит,что сделать,что написать клиенту,что показать или собрать,риск,источник,ссылка,долг
37,90,брать,Влад,аккаунт Влада,"Python, парсинг, данные",Нужна выгрузка компаний по г. Москва,1 000-3 000 руб.,13,средняя,8,250,"Хорошая зона Влада, если есть четкий источник, формат результата и допустимость сбора. Сырье: парсинг+выгрузка","Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Нужна выгрузка компаний по г. Москва"" я бы начал с короткого разбора: Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование. На выходе дам проверяемый результат: Мини-парсер, CSV до/после, лог ошибок, README как запускать. Для точной оценки пришлите: источник, пример страницы, поля, частота, формат выгрузки, ограничения.","Мини-парсер, CSV до/после, лог ошибок, README как запускать.",низкий,живой слой,https://kwork.ru/projects/3198621,
5,90,брать,Влад,аккаунт Влада,"Python, парсинг, данные",Разработка асинхронного Python парсера для AmoCRM,7 000-21 000 руб.,15,средняя,8,1 750,"Хорошая зона Влада, если есть четкий источник, формат результата и допустимость сбора. Сырье: идеальная зона Влада | Python парсер + amoCRM + лидогенерация, сильная связка для Vlad | buyer_orders=25; hire_percent=41; risk=Риск недооценки real-time и отказоустойчивости; action=Сначала аудит ТЗ, затем MVP-парсер 1 источника, лог ошибок, схема интеграции amoCRM","Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Разработка асинхронного Python парсера для AmoCRM"" я бы начал с короткого разбора: Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование. На выходе дам проверяемый результат: Мини-парсер, CSV до/после, лог ошибок, README как запускать. Для точной оценки пришлите: источник, пример страницы, поля, частота, формат выгрузки, ограничения.","Мини-парсер, CSV до/после, лог ошибок, README как запускать.",средний,живой слой + старый реестр,https://kwork.ru/projects/3198468,
11,90,брать,Настя + Влад,"аккаунт Насти, Влад помогает с техникой","1С, учет, ОСВ, акты",Удаленный Бухгалтер,4 000-12 000 руб.,15,средняя,5,1 600,"Есть сильный бытовой и рабочий контекст: 1С, ОСВ, акты сверки, дебиторка, кредиторка, УПД, счета, налоги. Сырье: единственный активный по «бухгалтер»","Попросить выгрузку, период, счет, контрагента, версию 1С и проблему словами. Делать таблицу расхождений, не гадать по скриншоту.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Удаленный Бухгалтер"" я бы начал с короткого разбора: Попросить выгрузку, период, счет, контрагента, версию 1С и проблему словами. Делать таблицу расхождений, не гадать по скриншоту. На выходе дам проверяемый результат: Обезличенная ОСВ 62, акт сверки, таблица кто кому сколько и по каким документам. Для точной оценки пришлите: выгрузка, период, счет, контрагент, версия 1С, что именно не сходится.","Обезличенная ОСВ 62, акт сверки, таблица кто кому сколько и по каким документам.",низкий,живой слой,https://kwork.ru/projects/3198627,
38,90,брать,Влад,аккаунт Влада,"Python, парсинг, данные",Сбор/парсинг Telegram-каналов: бьюти,500 руб.,18,средняя,8,63,"Хорошая зона Влада, если есть четкий источник, формат результата и допустимость сбора. Сырье: дешёвый парсинг","Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Сбор/парсинг Telegram-каналов: бьюти"" я бы начал с короткого разбора: Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование. На выходе дам проверяемый результат: Мини-парсер, CSV до/после, лог ошибок, README как запускать. Для точной оценки пришлите: источник, пример страницы, поля, частота, формат выгрузки, ограничения.","Мини-парсер, CSV до/после, лог ошибок, README как запускать.",низкий,живой слой,https://kwork.ru/projects/3198019,
3,90,брать,Влад,аккаунт Влада,"бизнес-клиенты, КП, лиды",Разработка шаблона оформления кейсов компании,4 000-12 000 руб.,19,средняя,3,2 667,"Влад силен не в копирайтинге ради текста, а в логике сделки: кому продаем, почему поверят, какой следующий шаг. Сырье: упаковка кейсов - зона Влада | Сильное совпадение с упаковкой кейсов и B2B смыслом | buyer_orders=11; hire_percent=50; risk=Нужны бренд-материалы; action=Собрать структуру кейса: проблема, контекст, решение, цифры, доказательства, CTA","Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Разработка шаблона оформления кейсов компании"" я бы начал с короткого разбора: Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания. На выходе дам проверяемый результат: Демо база 20 строк, структура КП, пример первого сообщения. Для точной оценки пришлите: кому продаем, география, запреты, признаки клиента, нужные контакты.","Демо база 20 строк, структура КП, пример первого сообщения.",средний,живой слой + старый реестр,https://kwork.ru/projects/3198248,
12,90,брать с границами,Настя + Влад,"аккаунт Насти, Влад помогает с техникой","1С, учет, ОСВ, акты",Программа учета для магазина автозапчастей на 1с,60 000-180 000 руб.,27,высокая,18,6 667,"Есть сильный бытовой и рабочий контекст: 1С, ОСВ, акты сверки, дебиторка, кредиторка, УПД, счета, налоги. Сырье: крупный бюджет 1С-разработка","Попросить выгрузку, период, счет, контрагента, версию 1С и проблему словами. Делать таблицу расхождений, не гадать по скриншоту.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Программа учета для магазина автозапчастей на 1с"" я бы начал с короткого разбора: Попросить выгрузку, период, счет, контрагента, версию 1С и проблему словами. Делать таблицу расхождений, не гадать по скриншоту. На выходе дам проверяемый результат: Обезличенная ОСВ 62, акт сверки, таблица кто кому сколько и по каким документам. Для точной оценки пришлите: выгрузка, период, счет, контрагент, версия 1С, что именно не сходится.","Обезличенная ОСВ 62, акт сверки, таблица кто кому сколько и по каким документам.",низкий,живой слой,https://kwork.ru/projects/3196862,
39,90,брать с границами,Влад,аккаунт Влада,"Python, парсинг, данные",Разработать аналог сайта + парсинг/наполнение,30 000-90 000 руб.,30,высокая,16,3 750,"Хорошая зона Влада, если есть четкий источник, формат результата и допустимость сбора. Сырье: крупный парсинг+сайт","Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Разработать аналог сайта + парсинг/наполнение"" я бы начал с короткого разбора: Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование. На выходе дам проверяемый результат: Мини-парсер, CSV до/после, лог ошибок, README как запускать. Для точной оценки пришлите: источник, пример страницы, поля, частота, формат выгрузки, ограничения.","Мини-парсер, CSV до/после, лог ошибок, README как запускать.",низкий,живой слой,https://kwork.ru/projects/3196048,
41,90,брать с границами,Влад,аккаунт Влада,"Python, парсинг, данные",Доработка парсера,30 000-90 000 руб.,48,высокая,16,3 750,"Хорошая зона Влада, если есть четкий источник, формат результата и допустимость сбора. Сырье: старый но активный","Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Доработка парсера"" я бы начал с короткого разбора: Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование. На выходе дам проверяемый результат: Мини-парсер, CSV до/после, лог ошибок, README как запускать. Для точной оценки пришлите: источник, пример страницы, поля, частота, формат выгрузки, ограничения.","Мини-парсер, CSV до/после, лог ошибок, README как запускать.",низкий,живой слой,https://kwork.ru/projects/2545228,
59,88,брать точечно,Влад,аккаунт Влада,Смешанные бизнес-задачи,Поиск покупателя для готового AI-стартапа,90 000 руб.,1,низкая,20,4 500,"Нужна ручная проверка, потому что направление не попало в главный канон. Сырье: AI-продукт, buyer list, упаковка сделки | AI-продукт, buyer list, упаковка сделки | buyer_orders=39; hire_percent=58; risk=Продажа стартапа без базы инвесторов сложна; action=Предложить список гипотез покупателей, питч, письмо, CRM-таблицу","Сначала уточнить объем, результат, приемку, срок и доступы.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Поиск покупателя для готового AI-стартапа"" я бы начал с короткого разбора: Сначала уточнить объем, результат, приемку, срок и доступы. На выходе дам проверяемый результат: Один обезличенный пример результата. Для точной оценки пришлите: исходные данные, пример результата, срок, критерии приемки.",Один обезличенный пример результата.,средний,старый реестр,https://kwork.ru/projects/3192274,ПРОВЕРИТЬ свежесть и источник
23,86,только платный разбор,Влад,аккаунт Влада,"ИИ, боты, CRM",Корпоративный мессенджер для компании,100 000-200 000 руб.,40,высокая,24,6 250,"Брать только как управляемый процесс: аудит, схема, один сценарий, тесты, затем оценка. Сырье: крупная разработка","Предлагать только первый этап: платный разбор, схема, вопросы, оценка. Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Корпоративный мессенджер для компании"" я бы начал с короткого разбора: Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария. На выходе дам проверяемый результат: Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт. Для точной оценки пришлите: каналы заявок, CRM, 5-10 примеров, желаемый статус, ограничения доступов.","Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт.",средний,живой слой,https://kwork.ru/projects/3197935,
25,86,только платный разбор,Влад,аккаунт Влада,"ИИ, боты, CRM",ИИ бот для наблюдения за видеокамерами,100 000-200 000 руб.,55,высокая,24,6 250,"Брать только как управляемый процесс: аудит, схема, один сценарий, тесты, затем оценка. Сырье: CV/AI крупный бюджет","Предлагать только первый этап: платный разбор, схема, вопросы, оценка. Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""ИИ бот для наблюдения за видеокамерами"" я бы начал с короткого разбора: Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария. На выходе дам проверяемый результат: Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт. Для точной оценки пришлите: каналы заявок, CRM, 5-10 примеров, желаемый статус, ограничения доступов.","Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт.",средний,живой слой,https://kwork.ru/projects/3197479,
19,80,не наш профиль,Влад,аккаунт Влада,"ТЗ, структура, Гант",Техническое задание на проектирование бани,7 000-21 000 руб.,2,низкая,4,3 500,"Влад может взять хаос и превратить в ТЗ, матрицу требований, вопросы, этапы и Гант без инженерной ответственности. Сырье: ТЗ=стройка не IT","Собрать исходные данные, ограничения, этапы, зависимости, вопросы и критерии приемки.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Техническое задание на проектирование бани"" я бы начал с короткого разбора: Собрать исходные данные, ограничения, этапы, зависимости, вопросы и критерии приемки. На выходе дам проверяемый результат: Матрица требований, Гант, список вопросов исполнителю, критерии приемки. Для точной оценки пришлите: цель, текущие материалы, сроки, бюджет, ограничения, кто принимает.","Матрица требований, Гант, список вопросов исполнителю, критерии приемки.",низкий,живой слой,https://kwork.ru/projects/3195348,
44,80,брать с границами,Влад,аккаунт Влада,"сайт, WordPress, SEO",Создать одностраничный сайт,15 000-45 000 руб.,25,высокая,6,5 000,"Не конкурировать с разработчиками по всему сайту. Брать размещение, структуру, карточки, SEO-поля и мелкие правки. Сырье: лендинг конкурентно","Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Создать одностраничный сайт"" я бы начал с короткого разбора: Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description. На выходе дам проверяемый результат: Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации. Для точной оценки пришлите: доступ, пример страницы, текст, картинки, SEO-поля, запреты.","Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации.",низкий,живой слой,https://kwork.ru/projects/3198790,
16,80,брать с границами,Настя + Влад,"аккаунт Насти, Влад помогает с техникой",Маркетплейсы,Разработка стиля карточек и витрины для маркетплейсов,10 000-30 000 руб.,27,высокая,6,3 333,"Брать только данные и структуру: SKU, фото, карточки, описания, признаки товара, не дизайн ради дизайна. Сырье: дизайн+контент МП","Начать с 5-10 SKU, сверить фото, артикул, описание, характеристики и источник.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Разработка стиля карточек и витрины для маркетплейсов"" я бы начал с короткого разбора: Начать с 5-10 SKU, сверить фото, артикул, описание, характеристики и источник. На выходе дам проверяемый результат: Таблица SKU: фото, артикул, описание, источник, статус, что не хватает. Для точной оценки пришлите: прайс, артикулы, сайт/папка фото, правила названий, площадка.","Таблица SKU: фото, артикул, описание, источник, статус, что не хватает.",низкий,живой слой,https://kwork.ru/projects/3198647,
8,80,брать с границами,Влад,аккаунт Влада,"сайт, WordPress, SEO",Разработать интернет-магазин (сайт уже есть),10 000-30 000 руб.,29,высокая,6,3 333,"Не конкурировать с разработчиками по всему сайту. Брать размещение, структуру, карточки, SEO-поля и мелкие правки. Сырье: e-commerce доработка | Можно через ТЗ, структуру каталога и базовую реализацию | buyer_orders=3; hire_percent=100; risk=Разработка под ключ может быть шире навыков/срока; action=Предложить discovery + ТЗ + MVP-каталог, не обещать полный e-commerce без аудита","Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Разработать интернет-магазин (сайт уже есть)"" я бы начал с короткого разбора: Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description. На выходе дам проверяемый результат: Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации. Для точной оценки пришлите: доступ, пример страницы, текст, картинки, SEO-поля, запреты.","Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации.",средний,живой слой + старый реестр,https://kwork.ru/projects/3198330,
6,80,брать с границами,Влад,аккаунт Влада,"Python, парсинг, данные",Доработка отчётов в DataLence,10 000-30 000 руб.,33,высокая,8,2 500,"Хорошая зона Влада, если есть четкий источник, формат результата и допустимость сбора. Сырье: BI/данные | Аналитический отчет, метрики, таблицы | buyer_orders=1; hire_percent=0; risk=Нужен опыт DataLens и доступ; action=Попросить ТЗ, текущий дашборд, список показателей, источники данных","Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Доработка отчётов в DataLence"" я бы начал с короткого разбора: Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование. На выходе дам проверяемый результат: Мини-парсер, CSV до/после, лог ошибок, README как запускать. Для точной оценки пришлите: источник, пример страницы, поля, частота, формат выгрузки, ограничения.","Мини-парсер, CSV до/после, лог ошибок, README как запускать.",средний,живой слой + старый реестр,https://kwork.ru/projects/3197770,
46,78,брать точечно,Настя + Влад,"аккаунт Насти, Влад помогает с техникой","1С, учет, ОСВ, акты","Маркировка товара Честный знак, косметика",30 000 руб.,1,низкая,10,3 000,"Есть сильный бытовой и рабочий контекст: 1С, ОСВ, акты сверки, дебиторка, кредиторка, УПД, счета, налоги. Сырье: Документы, маркировка, 1С, товарные группы | Документы, маркировка, 1С, товарные группы | buyer_orders=1; hire_percent=100; risk=Нужна точная экспертиза по маркировке; action=Брать только консультационный разбор и список действий после уточнения опыта","Попросить выгрузку, период, счет, контрагента, версию 1С и проблему словами. Делать таблицу расхождений, не гадать по скриншоту.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Маркировка товара Честный знак, косметика"" я бы начал с короткого разбора: Попросить выгрузку, период, счет, контрагента, версию 1С и проблему словами. Делать таблицу расхождений, не гадать по скриншоту. На выходе дам проверяемый результат: Обезличенная ОСВ 62, акт сверки, таблица кто кому сколько и по каким документам. Для точной оценки пришлите: выгрузка, период, счет, контрагент, версия 1С, что именно не сходится.","Обезличенная ОСВ 62, акт сверки, таблица кто кому сколько и по каким документам.",средний,старый реестр,https://kwork.ru/projects/3197398,ПРОВЕРИТЬ свежесть и источник
54,78,TAKE_AS_POSITIONING,Влад,аккаунт Влада,Смешанные бизнес-задачи,Сайт детского спортивного психолога,30 000 руб.,1,низкая,14,2 143,"Нужна ручная проверка, потому что направление не попало в главный канон. Сырье: Нужна суть продукта, структура, тексты, сайт | Нужна суть продукта, структура, тексты, сайт | buyer_orders=39; hire_percent=40; risk=Дизайн/разработка могут съесть бюджет; action=Предложить структуру сайта, оффер, тексты, прототип; разработку отдельно","Сначала уточнить объем, результат, приемку, срок и доступы.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Сайт детского спортивного психолога"" я бы начал с короткого разбора: Сначала уточнить объем, результат, приемку, срок и доступы. На выходе дам проверяемый результат: Один обезличенный пример результата. Для точной оценки пришлите: исходные данные, пример результата, срок, критерии приемки.",Один обезличенный пример результата.,низкий,старый реестр,https://kwork.ru/projects/3186458,ПРОВЕРИТЬ свежесть и источник
56,78,брать точечно,Настя,аккаунт Насти,Смешанные бизнес-задачи,Rich-контент и инфографика для Ozon,30 000 руб.,1,низкая,15,2 000,"Нужна ручная проверка, потому что направление не попало в главный канон. Сырье: Маркетплейсы и смысловая воронка близко, дизайн слабее | Маркетплейсы и смысловая воронка близко, дизайн слабее | buyer_orders=2; hire_percent=100; risk=Нужен дизайнерский портфель; action=Брать только текстовую структуру карточки и ТЗ для дизайнера","Сначала уточнить объем, результат, приемку, срок и доступы.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Rich-контент и инфографика для Ozon"" я бы начал с короткого разбора: Сначала уточнить объем, результат, приемку, срок и доступы. На выходе дам проверяемый результат: Один обезличенный пример результата. Для точной оценки пришлите: исходные данные, пример результата, срок, критерии приемки.",Один обезличенный пример результата.,средний,старый реестр,https://kwork.ru/projects/3193260,ПРОВЕРИТЬ свежесть и источник
58,78,LOSE,Влад,аккаунт Влада,Смешанные бизнес-задачи,Реклама премиум-кухонь в Москве и МО,75 000 руб.,1,низкая,25,3 000,"Нужна ручная проверка, потому что направление не попало в главный канон. Сырье: B2B/GTM частично близко | B2B/GTM частично близко | buyer_orders=10; hire_percent=100; risk=Нужен директолог с кейсами, это не стартовый профиль; action=Не брать; можно предложить аудит воронки и КП","Сначала уточнить объем, результат, приемку, срок и доступы.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Реклама премиум-кухонь в Москве и МО"" я бы начал с короткого разбора: Сначала уточнить объем, результат, приемку, срок и доступы. На выходе дам проверяемый результат: Один обезличенный пример результата. Для точной оценки пришлите: исходные данные, пример результата, срок, критерии приемки.",Один обезличенный пример результата.,высокий,старый реестр,https://kwork.ru/projects/3198398,ПРОВЕРИТЬ свежесть и источник
74,78,DANGER,Влад,аккаунт Влада,"сайт, WordPress, SEO",WordPress сайт с Supabase и SEO-страницами,30 000 руб.,1,низкая,35,857,"Не конкурировать с разработчиками по всему сайту. Брать размещение, структуру, карточки, SEO-поля и мелкие правки. Сырье: Технически близко, но объем большой: PHP, Bricks, ACF, Supabase 90k отелей | Технически близко, но объем большой: PHP, Bricks, ACF, Supabase 90k отелей | buyer_orders=49; hire_percent=54; risk=Недооценка разработки почти гарантирована; action=Не брать под ключ; предложить аудит, архитектуру и декомпозицию","Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""WordPress сайт с Supabase и SEO-страницами"" я бы начал с короткого разбора: Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description. На выходе дам проверяемый результат: Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации. Для точной оценки пришлите: доступ, пример страницы, текст, картинки, SEO-поля, запреты.","Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации.",высокий,старый реестр,https://kwork.ru/projects/3197570,ПРОВЕРИТЬ свежесть и источник
60,78,LOSE,Влад,аккаунт Влада,Смешанные бизнес-задачи,Холодные звонки по базе для выхода на ЛПР,45 000 руб.,2,низкая,25,1 800,"Нужна ручная проверка, потому что направление не попало в главный канон. Сырье: B2B навык есть, но это операционный колл-центр | B2B навык есть, но это операционный колл-центр | buyer_orders=29; hire_percent=25; risk=Не наш формат, высокая эмоциональная цена; action=Не брать как звонки; можно предложить скрипт, сегментацию и CRM-таблицу","Сначала уточнить объем, результат, приемку, срок и доступы.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Холодные звонки по базе для выхода на ЛПР"" я бы начал с короткого разбора: Сначала уточнить объем, результат, приемку, срок и доступы. На выходе дам проверяемый результат: Один обезличенный пример результата. Для точной оценки пришлите: исходные данные, пример результата, срок, критерии приемки.",Один обезличенный пример результата.,высокий,старый реестр,https://kwork.ru/projects/3198231,ПРОВЕРИТЬ свежесть и источник
22,72,брать с границами,Влад,аккаунт Влада,"ИИ, боты, CRM",Анализ записей телефонных разговоров с ИИ,5 000-15 000 руб.,21,высокая,10,1 000,"Брать только как управляемый процесс: аудит, схема, один сценарий, тесты, затем оценка. Сырье: AI-обработка речи","Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Анализ записей телефонных разговоров с ИИ"" я бы начал с короткого разбора: Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария. На выходе дам проверяемый результат: Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт. Для точной оценки пришлите: каналы заявок, CRM, 5-10 примеров, желаемый статус, ограничения доступов.","Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт.",низкий,живой слой,https://kwork.ru/projects/3198370,
15,72,брать с границами,Влад,аккаунт Влада,Маркетинговая аналитика,Анализ конкурентов,3 500 руб.,22,высокая,6,583,"Брать, если нужна таблица решений: unit-экономика, воронка, конкуренты, сегменты, выводы. Сырье: конкурентный анализ","Уточнить метрики, период, источники данных и решение, которое надо принять после анализа.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Анализ конкурентов"" я бы начал с короткого разбора: Уточнить метрики, период, источники данных и решение, которое надо принять после анализа. На выходе дам проверяемый результат: Таблица unit-экономики, выводы, что менять первым, что проверить. Для точной оценки пришлите: данные продаж, расходы, каналы, период, цель анализа.","Таблица unit-экономики, выводы, что менять первым, что проверить.",низкий,живой слой,https://kwork.ru/projects/3195547,
2,72,брать с границами,Влад,аккаунт Влада,"ИИ, боты, CRM",Доработка бота в Salebot для ВК и ТГ,5 000-15 000 руб.,31,высокая,10,1 000,"Брать только как управляемый процесс: аудит, схема, один сценарий, тесты, затем оценка. Сырье: доработка конструктора | Боты, личный кабинет, рефералы, статусы | buyer_orders=8; hire_percent=20; risk=Зависимость от Salebot и чужих доступов; action=Попросить схему текущего бота, доступ тестовый, список сценариев, логи ошибок","Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Доработка бота в Salebot для ВК и ТГ"" я бы начал с короткого разбора: Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария. На выходе дам проверяемый результат: Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт. Для точной оценки пришлите: каналы заявок, CRM, 5-10 примеров, желаемый статус, ограничения доступов.","Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт.",средний,живой слой + старый реестр,https://kwork.ru/projects/3197646,
40,72,брать с границами,Влад,аккаунт Влада,"Python, парсинг, данные",Дополнить робота по автоответам на Ozon,1 000-3 000 руб.,39,высокая,8,250,"Хорошая зона Влада, если есть четкий источник, формат результата и допустимость сбора. Сырье: дешёвый но много откликов","Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Дополнить робота по автоответам на Ozon"" я бы начал с короткого разбора: Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование. На выходе дам проверяемый результат: Мини-парсер, CSV до/после, лог ошибок, README как запускать. Для точной оценки пришлите: источник, пример страницы, поля, частота, формат выгрузки, ограничения.","Мини-парсер, CSV до/после, лог ошибок, README как запускать.",низкий,живой слой,https://kwork.ru/projects/3198488,
24,72,брать с границами,Влад,аккаунт Влада,"ИИ, боты, CRM",Исправить ошибки в работе бота,6 500-19 500 руб.,47,высокая,10,1 300,"Брать только как управляемый процесс: аудит, схема, один сценарий, тесты, затем оценка. Сырье: фикс-задача","Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Исправить ошибки в работе бота"" я бы начал с короткого разбора: Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария. На выходе дам проверяемый результат: Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт. Для точной оценки пришлите: каналы заявок, CRM, 5-10 примеров, желаемый статус, ограничения доступов.","Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт.",низкий,живой слой,https://kwork.ru/projects/3198567,
49,70,TAKE_WITH_BOUNDARY,Настя,аккаунт Насти,"Документы, договоры, заявки",Вывод товара в розничные сети и договор поставки,9 000 руб.,1,низкая,7,1 286,"Сильная зона Насти: договоры поставки, ИТ-договоры, протоколы разногласий, трехсторонние договоры, УФАС, МСП, АНО. Сырье: Поставка, договор, розничные сети, коммерческая логика | Поставка, договор, розничные сети, коммерческая логика | buyer_orders=18; hire_percent=67; risk=Не обещать одобрение сети; action=Предложить пакет: КП, список сетей, письмо, карта требований, договорные риски","Разобрать документы в таблицу: пункт, риск, что просим заменить, почему, что спросить до подписи.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Вывод товара в розничные сети и договор поставки"" я бы начал с короткого разбора: Разобрать документы в таблицу: пункт, риск, что просим заменить, почему, что спросить до подписи. На выходе дам проверяемый результат: Протокол разногласий и таблица рисков по обезличенному договору. Для точной оценки пришлите: договор, приложения, счет, акт, цель правки, красные пункты.",Протокол разногласий и таблица рисков по обезличенному договору.,средний,старый реестр,https://kwork.ru/projects/3198018,ПРОВЕРИТЬ свежесть и источник
55,70,брать точечно,Влад,аккаунт Влада,Смешанные бизнес-задачи,Упаковка Авито аккаунта,5 000 руб.,1,низкая,5,1 000,"Нужна ручная проверка, потому что направление не попало в главный канон. Сырье: Фирменный стиль, шаблоны, карточки, тексты | Фирменный стиль, шаблоны, карточки, тексты | buyer_orders=1; hire_percent=0; risk=Не основной профиль без визуального портфолио; action=Взять только как структура, тексты и ТЗ для дизайна","Сначала уточнить объем, результат, приемку, срок и доступы.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Упаковка Авито аккаунта"" я бы начал с короткого разбора: Сначала уточнить объем, результат, приемку, срок и доступы. На выходе дам проверяемый результат: Один обезличенный пример результата. Для точной оценки пришлите: исходные данные, пример результата, срок, критерии приемки.",Один обезличенный пример результата.,средний,старый реестр,https://kwork.ru/projects/3198125,ПРОВЕРИТЬ свежесть и источник
