rank,source_layer,project_id,url,date_checked,title,account,channel,niche,direction,budget_min,budget_max,budget_mid,offers,views,competition,decision,pay_mode,risk,est_hours,gross_rate_mid,confidence,source_files,next_action,notes
60,CODEX,3198231,https://kwork.ru/projects/3198231,2026-06-16,Холодные звонки по базе для выхода на ЛПР,Vlad,exchange_or_screenshot,mixed_business_task,Смешанные бизнес-задачи,45000,45000,45000,2,,low,LOSE,SE_Vlad,high,25,1800,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=29; hire_percent=25; risk=Не наш формат, высокая эмоциональная цена; action=Не брать как звонки; можно предложить скрипт, сегментацию и CRM-таблицу","B2B навык есть, но это операционный колл-центр | B2B навык есть, но это операционный колл-центр | buyer_orders=29; hire_percent=25; risk=Не наш формат, высокая эмоциональная цена; action=Не брать как звонки; можно предложить скрипт, сегментацию и CRM-таблицу"
61,CODEX,3197546,https://kwork.ru/projects/3197546,2026-06-16,HTML-страница с аналитическими данными,Vlad,exchange_or_screenshot,mixed_business_task,Смешанные бизнес-задачи,15000,15000,15000,4,,low,TAKE_WITH_SCOPE,SE_Vlad,low,10,1500,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=382; hire_percent=90; risk=Требуется уточнение интеграции с Битрикс; action=Сначала макет данных, затем статическая HTML-страница и список API-долга","Влад может собрать HTML/дашборд/структуру метрик | Влад может собрать HTML/дашборд/структуру метрик | buyer_orders=382; hire_percent=90; risk=Требуется уточнение интеграции с Битрикс; action=Сначала макет данных, затем статическая HTML-страница и список API-долга"
62,CODEX,codex_row_76,spouse_kwork/assets/kwork_request_screenshots/09_gemini_prompt.png,2026-06-15,Промпт для Gemini,Vlad,exchange_or_screenshot,mixed_business_task,Смешанные бизнес-задачи,1000,1000,1000,16,,mid,LOSE_LOW_CHECK,SE_Vlad,high,2,500,medium,market/2026-06-kwork-orders-ledger.csv,buyer_orders=250; hire_percent=37; risk=Забирает внимание за копейки; action=Брать только как быстрый шаблон без переписки,"Промпты есть, но чек слишком низкий и конкуренция высокая"
63,CODEX,codex_row_77,spouse_kwork/assets/kwork_request_screenshots/10_bathhouse_technical_spec.png,2026-06-15,ТЗ на проектирование бани,Vlad,exchange_or_screenshot,tz_structure_gantt,"ТЗ, структура, Gantt",7000,7000,7000,2,,low,TAKE_AS_TZ_ONLY,SE_Vlad,low,4,1750,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=26; hire_percent=70; risk=Не делать инженерный проект; action=Отклик: не проектирую, но соберу ТЗ для инженера","Можно собрать ТЗ, вопросы, чек-лист исходных данных"
64,CODEX,codex_row_75,spouse_kwork/assets/kwork_request_screenshots/08_xmind_geography_travel.png,2026-06-15,XMind схема по географии и путешествиям,Vlad,exchange_or_screenshot,tz_structure_gantt,"ТЗ, структура, Gantt",5000,5000,5000,10,,mid,TAKE_FAST,SE_Vlad,low,4,1250,medium,market/2026-06-kwork-orders-ledger.csv,buyer_orders=4; hire_percent=75; risk=Низкий чек при большом объеме; action=Сначала один фрагмент схемы и правило подсчета ячеек,"Структурирование, mind map, инструкция"
65,CODEX,3198001,https://kwork.ru/projects/3198001,2026-06-16,AI-агент для обработки входящих заявок,Vlad,exchange_or_screenshot,crm_leads_automation,"AI, боты, CRM",200000,200000,200000,1,,low,DANGER_DISCOVERY_ONLY,SE_Vlad,high,35,5714,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=1; hire_percent=0; risk=Высокий чек, новый покупатель, нужен контракт и фазы; action=Ответить только на paid discovery: схема потоков, роли, риски, прототип одного канала","Стратегически профиль Vlad: заявки, Telegram, WhatsApp, CRM, AI | Стратегически профиль Vlad: заявки, Telegram, WhatsApp, CRM, AI | buyer_orders=1; hire_percent=0; risk=Высокий чек, новый покупатель, нужен контракт и фазы; action=Ответить только на paid discovery: схема потоков, роли, риски, прототип одного канала"
66,CODEX,3197649,https://kwork.ru/projects/3197649,2026-06-16,Заявки с сайта и квиза в amoCRM,Vlad,exchange_or_screenshot,crm_leads_automation,"AI, боты, CRM",15000,15000,15000,1,,low,TAKE,SE_Vlad,low,8,1875,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=7; hire_percent=60; risk=Может быть скрытая серверная часть; action=Сделать аудит форм, карту полей amoCRM, тестовую заявку, чек-лист исправлений","WordPress формы, квиз, amoCRM, лид-логика | WordPress формы, квиз, amoCRM, лид-логика | buyer_orders=7; hire_percent=60; risk=Может быть скрытая серверная часть; action=Сделать аудит форм, карту полей amoCRM, тестовую заявку, чек-лист исправлений"
67,CODEX,3198598,https://kwork.ru/projects/3198598,2026-06-16,Доработка карточки клиента в amoCRM,Vlad,exchange_or_screenshot,crm_leads_automation,"AI, боты, CRM",7500,7500,7500,1,,low,TAKE,SE_Vlad,low,4,1875,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=4; hire_percent=100; risk=Нужен доступ и понимание телефонии; action=Проверить текущую карточку, описать меню Telegram/WhatsApp/Max и отдать схему внедрения","Малый CRM-функционал, быстрый результат | Малый CRM-функционал, быстрый результат | buyer_orders=4; hire_percent=100; risk=Нужен доступ и понимание телефонии; action=Проверить текущую карточку, описать меню Telegram/WhatsApp/Max и отдать схему внедрения"
68,CODEX,3198690,https://kwork.ru/projects/3198690,2026-06-16,Сбор базы для B2B-рассылки,Vlad,exchange_or_screenshot,lead_search,"B2B, КП, лиды",30000,30000,30000,1,,low,TAKE,SE_Vlad,med,8,3750,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=23; hire_percent=67; risk=Нужна проверка источников и легальность контактов; action=Собери базу: ICP, поля, источники, правила валидации, 20 тестовых строк, отчет о сомнительных источниках","Прямо совпадает с B2B, базами, критериями, Telegram/email источниками | Прямо совпадает с B2B, базами, критериями, Telegram/email источниками | buyer_orders=23; hire_percent=67; risk=Нужна проверка источников и легальность контактов; action=Собери базу: ICP, поля, источники, правила валидации, 20 тестовых строк, отчет о сомнительных источниках"
69,CODEX,3198531,https://kwork.ru/projects/3198531,2026-06-16,B2B бренд-стратегия и GTM для технологического продукта,Vlad,exchange_or_screenshot,b2b_packaging,"B2B, КП, лиды",200000,200000,200000,1,,low,TAKE_DISCOVERY_ONLY,SE_Vlad,low,30,6667,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=15; hire_percent=13; risk=Покупатель ждет агентство и кейсы; action=Предложить paid discovery: интервью, гипотезы ICP, карта оффера, план GTM","Сильная зона Vlad: B2B, технологические продукты, GTM, упаковка | Сильная зона Vlad: B2B, технологические продукты, GTM, упаковка | buyer_orders=15; hire_percent=13; risk=Покупатель ждет агентство и кейсы; action=Предложить paid discovery: интервью, гипотезы ICP, карта оффера, план GTM"
70,CODEX,codex_row_72,spouse_kwork/assets/kwork_request_screenshots/02_client_search.png,2026-06-15,Поиск 5 клиентов,Vlad,exchange_or_screenshot,lead_search,"B2B, КП, лиды",10000,10000,10000,5,,low,TAKE_TEST,SE_Vlad,high,4,2500,medium,market/2026-06-kwork-orders-ledger.csv,buyer_orders=12; hire_percent=27; risk=Нельзя обещать продажи; action=Собрать 5 клиентов с источником и причиной попадания,Проверка ICP и базы клиентов
71,CODEX,3198105,https://kwork.ru/projects/3198105,2026-06-16,"Рутина интернет-магазина: товары, таблицы, нейросети",Nastya,exchange_or_screenshot,tables_analytics,Excel и таблицы,1500,1500,1500,1,,low,TAKE_ONLY_FAST,IP_Nastya,low,2,750,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=32; hire_percent=56; risk=Очень низкий чек; action=Брать только тестом 1-2 часа, не обещать долгую ручную рутину","Совпадает с аккуратной рутиной, таблицами, карточками | Совпадает с аккуратной рутиной, таблицами, карточками | buyer_orders=32; hire_percent=56; risk=Очень низкий чек; action=Брать только тестом 1-2 часа, не обещать долгую ручную рутину"
72,CODEX,2923776,https://kwork.ru/projects/2923776,2026-06-16,Google Script для отправки писем с вложениями,Vlad,exchange_or_screenshot,tables_analytics,Excel и таблицы,3000,3000,3000,17,,mid,TAKE_FAST,SE_Vlad,low,3,1000,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=89; hire_percent=60; risk=Много предложений, нужен быстрый отклик; action=Дать короткий ответ: проверю структуру файлов, сделаю скрипт, тест, инструкцию","Простая автоматизация, таблицы, файлы, письма | Простая автоматизация, таблицы, файлы, письма | buyer_orders=89; hire_percent=60; risk=Много предложений, нужен быстрый отклик; action=Дать короткий ответ: проверю структуру файлов, сделаю скрипт, тест, инструкцию"
73,CODEX,3195288,https://kwork.ru/projects/3195288,2026-06-16,Синхронизация календаря бронирования WordPress,Vlad,exchange_or_screenshot,wordpress_content_cards,"Web, WordPress, SEO",9000,9000,9000,1,,low,TAKE_IF_PLUGIN,SE_Vlad,med,6,1500,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=4; hire_percent=0; risk=Риск нестандартного плагина/хостинга; action=Попросить сайт, плагин, пример желаемого календаря, доступ staging","WordPress + постановка ТЗ + календарь | WordPress + постановка ТЗ + календарь | buyer_orders=4; hire_percent=0; risk=Риск нестандартного плагина/хостинга; action=Попросить сайт, плагин, пример желаемого календаря, доступ staging"
74,CODEX,3197570,https://kwork.ru/projects/3197570,2026-06-16,WordPress сайт с Supabase и SEO-страницами,Vlad,exchange_or_screenshot,wordpress_content_cards,"Web, WordPress, SEO",30000,30000,30000,1,,low,DANGER,SE_Vlad,high,35,857,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=49; hire_percent=54; risk=Недооценка разработки почти гарантирована; action=Не брать под ключ; предложить аудит, архитектуру и декомпозицию","Технически близко, но объем большой: PHP, Bricks, ACF, Supabase 90k отелей | Технически близко, но объем большой: PHP, Bricks, ACF, Supabase 90k отелей | buyer_orders=49; hire_percent=54; risk=Недооценка разработки почти гарантирована; action=Не брать под ключ; предложить аудит, архитектуру и декомпозицию"
75,CODEX,3197908,https://kwork.ru/projects/3197908,2026-06-16,Публикация карточек товара на досках объявлений,Nastya,exchange_or_screenshot,wordpress_content_cards,"Web, WordPress, SEO",3000,3000,3000,1,,low,TAKE_FAST,IP_Nastya,low,3,1000,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=1002; hire_percent=37; risk=Рутина и возможные правила площадок; action=Брать как тест: 10 карточек, чек-лист полей, отчет о публикациях","Карточки, интернет-магазин, аккуратная публикация | Карточки, интернет-магазин, аккуратная публикация | buyer_orders=1002; hire_percent=37; risk=Рутина и возможные правила площадок; action=Брать как тест: 10 карточек, чек-лист полей, отчет о публикациях"
76,CODEX,3198573,https://kwork.ru/projects/3198573,2026-06-16,Размещение и оформление SEO-статьи на WordPress,Nastya,exchange_or_screenshot,wordpress_content_cards,"Web, WordPress, SEO",6000,6000,6000,1,,low,TAKE,IP_Nastya,low,3,2000,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=383; hire_percent=33; risk=Нужен доступ к WP и пример оформления; action=Попросить доступ, статью, шаблон, SEO-title/description, картинку","Прямое совпадение с контентным кворком | Прямое совпадение с контентным кворком | buyer_orders=383; hire_percent=33; risk=Нужен доступ к WP и пример оформления; action=Попросить доступ, статью, шаблон, SEO-title/description, картинку"
77,CODEX,3198051,https://kwork.ru/projects/3198051,2026-06-16,Восстановить WordPress сайт из вебархива,Vlad,exchange_or_screenshot,wordpress_content_cards,"Web, WordPress, SEO",6000,6000,6000,1,,low,PARITY,SE_Vlad,med,6,1000,medium,market/2026-06-kwork-orders-ledger.csv,buyer_orders=11; hire_percent=33; risk=Полное восстановление дизайна может быть шире; action=Взять только после просмотра вебархива и объема страниц,Можно попробовать как восстановление контента/структуры | Можно попробовать как восстановление контента/структуры | buyer_orders=11; hire_percent=33; risk=Полное восстановление дизайна может быть шире; action=Взять только после просмотра вебархива и объема страниц
78,CODEX,codex_row_74,spouse_kwork/assets/kwork_request_screenshots/05_product_photos_cards.png,2026-06-15,Фото и описания для карточек товаров,Nastya,exchange_or_screenshot,wordpress_content_cards,"Web, WordPress, SEO",6000,6000,6000,6,,mid,TAKE_TEST,IP_Nastya,med,5,1200,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=5; hire_percent=75; risk=Риск чужих фото и инфографики; action=Тест 5-10 товаров, только разрешенные источники фото","Товарные карточки, фото, описания, прайс"
79,CODEX,codex_row_78,spouse_kwork/assets/kwork_request_screenshots/11_wordpress_articles.png,2026-06-15,Разместить 10 готовых статей на WordPress,Nastya,exchange_or_screenshot,wordpress_content_cards,"Web, WordPress, SEO",1000,1000,1000,14,,mid,LOSE_LOW_CHECK,IP_Nastya,high,3,333,medium,market/2026-06-kwork-orders-ledger.csv,buyer_orders=26; hire_percent=43; risk=Слишком низкая ставка и доступ к сайту; action=Брать только при повышении бюджета или пакетом,"Задача понятна, но цена слабая"
